traj,em_collapsed,em_step,em_type,lam_collapsed,lam_step,lam_type
99,0,-1,0,0,-1,0
100,0,-1,0,0,-1,0
101,0,-1,0,0,-1,0
102,0,-1,0,0,-1,0
103,0,-1,0,0,-1,0
104,1,277,1,1,282,1
105,0,-1,0,0,-1,0
106,0,-1,0,0,-1,0
107,0,-1,0,0,-1,0
108,0,-1,0,0,-1,0
109,1,343,1,1,348,1
110,1,281,1,1,285,1
111,0,-1,0,0,-1,0
112,0,-1,0,0,-1,0
113,1,275,1,1,277,1
114,1,296,1,1,305,1
115,0,-1,0,0,-1,0
116,1,406,1,1,429,3
117,0,-1,0,0,-1,0
118,0,-1,0,0,-1,0
119,0,-1,0,0,-1,0
120,0,-1,0,0,-1,0
121,0,-1,0,0,-1,0
122,0,-1,0,0,-1,0
123,1,275,1,1,280,1
124,1,282,1,1,286,1
125,1,297,1,1,301,1
126,0,-1,0,0,-1,0
127,0,-1,0,0,-1,0
128,0,-1,0,0,-1,0
129,0,-1,0,0,-1,0
130,0,-1,0,0,-1,0
131,1,291,1,1,293,1
132,0,-1,0,0,-1,0
133,0,-1,0,0,-1,0
134,0,-1,0,0,-1,0
135,0,-1,0,0,-1,0
136,0,-1,0,0,-1,0
137,1,380,1,0,-1,0
138,1,279,1,1,282,1
139,0,-1,0,0,-1,0
140,0,-1,0,0,-1,0
141,0,-1,0,0,-1,0
142,0,-1,0,0,-1,0
143,0,-1,0,0,-1,0
144,0,-1,0,0,-1,0
145,0,-1,0,0,-1,0
146,0,-1,0,0,-1,0
147,0,-1,0,0,-1,0
148,0,-1,0,0,-1,0
149,0,-1,0,0,-1,0
150,0,-1,0,0,-1,0
151,0,-1,0,0,-1,0
152,0,-1,0,0,-1,0
153,0,-1,0,0,-1,0
154,0,-1,0,0,-1,0
155,0,-1,0,0,-1,0
156,1,301,1,1,304,1
157,0,-1,0,0,-1,0
158,1,281,1,1,282,1
159,0,-1,0,0,-1,0
160,1,279,1,1,283,3
161,0,-1,0,0,-1,0
162,1,311,1,1,316,1
163,0,-1,0,0,-1,0
164,0,-1,0,0,-1,0
165,0,-1,0,0,-1,0
166,0,-1,0,0,-1,0
167,0,-1,0,0,-1,0
168,0,-1,0,0,-1,0
169,0,-1,0,0,-1,0
170,0,-1,0,0,-1,0
171,0,-1,0,0,-1,0
172,0,-1,0,0,-1,0
173,0,-1,0,0,-1,0
174,0,-1,0,0,-1,0
175,1,297,1,1,301,1
176,1,280,1,1,276,3
177,0,-1,0,0,-1,0
178,0,-1,0,0,-1,0
179,1,293,1,1,296,3
180,1,278,1,1,280,1
181,0,-1,0,0,-1,0
182,1,278,1,1,279,1
183,0,-1,0,0,-1,0
184,0,-1,0,0,-1,0
185,1,279,1,1,288,1
186,0,-1,0,0,-1,0
187,0,-1,0,0,-1,0
188,0,-1,0,0,-1,0
189,1,377,1,1,389,1
190,0,-1,0,0,-1,0
191,0,-1,0,0,-1,0
192,1,324,3,1,325,3
193,0,-1,0,0,-1,0
194,1,272,1,1,274,1
195,0,-1,0,0,-1,0
196,0,-1,0,0,-1,0
197,0,-1,0,0,-1,0
198,0,-1,0,0,-1,0
199,0,-1,0,0,-1,0
200,0,-1,0,0,-1,0
201,0,-1,0,0,-1,0
202,0,-1,0,0,-1,0
203,0,-1,0,0,-1,0
204,0,-1,0,0,-1,0
205,0,-1,0,0,-1,0
206,1,275,1,1,277,1
207,1,285,1,1,285,3
208,0,-1,0,0,-1,0
209,0,-1,0,0,-1,0
210,1,315,1,1,313,1
211,1,313,3,1,321,3
212,0,-1,0,0,-1,0
213,1,265,1,1,266,1
214,0,-1,0,0,-1,0
215,0,-1,0,1,329,3
216,1,331,1,1,345,1
217,1,286,1,1,286,1
218,0,-1,0,0,-1,0
219,1,268,1,1,267,1
220,1,293,1,1,296,1
221,0,-1,0,0,-1,0
222,0,-1,0,0,-1,0
223,0,-1,0,0,-1,0
224,1,288,1,1,294,1
225,0,-1,0,0,-1,0
226,1,307,1,1,307,1
227,0,-1,0,0,-1,0
228,0,-1,0,0,-1,0
229,0,-1,0,0,-1,0
230,0,-1,0,0,-1,0
231,0,-1,0,0,-1,0
232,1,286,1,1,288,1
233,0,-1,0,0,-1,0
234,0,-1,0,0,-1,0
235,1,277,1,1,279,1
236,1,341,1,1,358,1
237,0,-1,0,0,-1,0
238,0,-1,0,0,-1,0
239,0,-1,0,0,-1,0
240,0,-1,0,0,-1,0
241,0,-1,0,0,-1,0
242,0,-1,0,0,-1,0
243,0,-1,0,0,-1,0
244,0,-1,0,0,-1,0
245,0,-1,0,0,-1,0
246,0,-1,0,0,-1,0
247,0,-1,0,0,-1,0
248,1,324,1,1,358,1
249,0,-1,0,0,-1,0
250,0,-1,0,0,-1,0
251,1,287,1,1,289,1
252,0,-1,0,0,-1,0
253,0,-1,0,0,-1,0
254,0,-1,0,0,-1,0
255,0,-1,0,0,-1,0
256,0,-1,0,0,-1,0
257,0,-1,0,0,-1,0
258,1,278,1,1,282,3
259,0,-1,0,0,-1,0
260,0,-1,0,0,-1,0
261,0,-1,0,0,-1,0
262,0,-1,0,0,-1,0
263,1,326,1,1,340,1
