traj,em_collapsed,em_step,em_type,lam_collapsed,lam_step,lam_type
808,0,-1,0,0,-1,0
809,0,-1,0,0,-1,0
810,1,279,3,1,281,3
811,0,-1,0,0,-1,0
812,0,-1,0,0,-1,0
813,0,-1,0,0,-1,0
814,1,277,1,1,279,1
815,1,563,1,0,-1,0
816,0,-1,0,0,-1,0
817,0,-1,0,0,-1,0
818,1,299,3,1,310,1
819,1,270,3,1,279,1
820,1,307,1,1,305,1
821,1,299,1,1,302,1
822,0,-1,0,0,-1,0
823,0,-1,0,0,-1,0
824,0,-1,0,0,-1,0
825,0,-1,0,0,-1,0
826,0,-1,0,0,-1,0
827,0,-1,0,0,-1,0
828,0,-1,0,0,-1,0
829,0,-1,0,0,-1,0
830,1,268,3,1,272,3
831,0,-1,0,0,-1,0
832,1,315,1,1,320,1
833,0,-1,0,0,-1,0
834,0,-1,0,0,-1,0
835,0,-1,0,0,-1,0
836,1,281,1,1,288,1
837,1,300,1,1,301,3
838,1,262,1,1,265,3
839,1,272,1,1,273,3
840,0,-1,0,0,-1,0
841,0,-1,0,0,-1,0
842,0,-1,0,0,-1,0
843,1,352,1,1,336,1
844,1,276,1,1,278,1
845,0,-1,0,0,-1,0
846,0,-1,0,0,-1,0
847,0,-1,0,0,-1,0
848,1,288,1,1,285,1
849,0,-1,0,0,-1,0
850,0,-1,0,0,-1,0
851,0,-1,0,0,-1,0
852,0,-1,0,0,-1,0
853,0,-1,0,0,-1,0
854,1,324,1,1,324,1
855,0,-1,0,0,-1,0
856,1,325,1,0,-1,0
857,1,306,1,1,321,1
858,1,299,1,1,295,1
859,0,-1,0,0,-1,0
860,0,-1,0,0,-1,0
861,0,-1,0,0,-1,0
862,1,326,1,1,334,3
863,0,-1,0,0,-1,0
864,0,-1,0,0,-1,0
865,0,-1,0,0,-1,0
866,0,-1,0,0,-1,0
867,0,-1,0,0,-1,0
868,1,266,1,1,267,1
869,0,-1,0,0,-1,0
870,1,316,1,1,333,1
871,1,376,1,1,450,3
872,0,-1,0,0,-1,0
873,1,316,1,1,316,1
874,1,298,1,1,300,1
875,1,286,1,0,-1,0
876,0,-1,0,0,-1,0
877,0,-1,0,0,-1,0
878,0,-1,0,0,-1,0
879,0,-1,0,0,-1,0
880,0,-1,0,0,-1,0
881,1,281,1,1,282,3
882,0,-1,0,0,-1,0
883,0,-1,0,0,-1,0
884,0,-1,0,0,-1,0
885,0,-1,0,0,-1,0
886,0,-1,0,0,-1,0
887,0,-1,0,0,-1,0
888,1,287,1,1,287,1
