Date,n_sectors,rho,sigma_single,sigma_port,DB,DB_theory,DB_max,NFCI,VIX
2018-03-29,10,0.677333635350178,0.20669360900313885,0.17655698945417825,1.17069060614438,1.1871158768434003,3.1622776601683795,-0.499,19.96999931335449
2018-04-02,10,0.6872682358044363,0.21042259383687756,0.18092346080022903,1.1630475832496965,1.17970684247905,3.1622776601683795,-0.498,23.6200008392334
2018-04-03,10,0.69500334092148,0.21156710698470493,0.18278878719644237,1.157440290674584,1.1740332360360257,3.1622776601683795,-0.498,21.100000381469727
2018-04-04,10,0.6949492667824398,0.21257169365255532,0.1836351944461958,1.1575759989452228,1.1740726150785317,3.1622776601683795,-0.498,20.059999465942383
2018-04-05,10,0.6947257370548097,0.2134452886394746,0.18439618904799404,1.1575363338117566,1.1742354408015865,3.1622776601683795,-0.498,18.940000534057617
2018-04-06,10,0.7043700184989887,0.216630655683033,0.1883882807624747,1.1499157739868493,1.1672712457572674,3.1622776601683795,-0.501,21.489999771118164
2018-04-09,10,0.7062413106367437,0.21638010834297877,0.18846264592904527,1.1481326035528772,1.1659342721963364,3.1622776601683795,-0.501,21.770000457763672
2018-04-10,10,0.7031665066822148,0.2181814167152921,0.18983917989597734,1.1492960348587942,1.1681335475099988,3.1622776601683795,-0.501,20.46999931335449
2018-04-11,10,0.70427555105692,0.21789085326759988,0.18962671405286716,1.1490514633231097,1.1673388614911595,3.1622776601683795,-0.501,20.239999771118164
2018-04-12,10,0.6992779475612787,0.2186714385740806,0.18978473293261994,1.1522077418720316,1.170932771137194,3.1622776601683795,-0.501,18.489999771118164
2018-04-13,10,0.6947042765126031,0.21834375652173388,0.18894320579363533,1.155605228590278,1.1742510768652847,3.1622776601683795,-0.511,17.40999984741211
2018-04-16,10,0.6975616233369425,0.21919066644245622,0.18993631279518453,1.1540219098536348,1.1721747043565764,3.1622776601683795,-0.511,16.559999465942383
2018-04-17,10,0.6996236979292981,0.219984380806481,0.19077121153040497,1.153131958652053,1.1706830633382215,3.1622776601683795,-0.511,15.25
2018-04-18,10,0.6970676053421208,0.21954258249335673,0.19013481940498728,1.1546679518270186,1.1725329091193089,3.1622776601683795,-0.511,15.600000381469728
2018-04-19,10,0.6897047185469901,0.22075150892334922,0.19038367243998922,1.1595086180141432,1.1779108458962324,3.1622776601683795,-0.511,15.960000038146973
2018-04-20,10,0.6910863456071555,0.22125545864338786,0.19091925007564928,1.1588954940673517,1.1768960490884193,3.1622776601683795,-0.525,16.8799991607666
2018-04-23,10,0.6931957610590797,0.22083606525913588,0.19086618088322857,1.1570204016092447,1.1753517426436468,3.1622776601683795,-0.525,16.34000015258789
