xi,target,J,h_eff_star,h0_star_pred_window,h0_star_pred_equil
0.35,0.1,3.01,0.42644705792823623,2.132235289641181,0.06092100827546232
0.35,0.1,3.02,0.42852141093720947,2.142607054686047,0.061217344419601354
0.35,0.1,3.03,0.4305851696067386,2.152925848033693,0.06151216708667694
0.35,0.1,3.04,0.43263848596557974,2.1631924298278986,0.06180549799508282
0.35,0.1,3.05,0.4346815084095315,2.1734075420476575,0.06209735834421879
0.35,0.1,3.06,0.4367143818220792,2.183571909110396,0.0623877688317256
0.35,0.1,3.07,0.43873724768993216,2.1936862384496605,0.0626767496699903
0.35,0.1,3.08,0.4407502442137173,2.203751221068586,0.06296432060195961
0.35,0.1,3.09,0.44275350641407557,2.213767532070378,0.06325050091629651
0.35,0.1,3.1,0.4447471662333887,2.2237358311669433,0.06353530946191267
0.35,0.1,3.11,0.4467313526333601,2.2336567631668003,0.06381876466190858
0.35,0.1,3.12,0.44870619168865,2.24353095844325,0.06410088452695
0.35,0.1,3.13,0.45067180667675855,2.2533590333837927,0.06438168666810837
0.35,0.1,3.14,0.45262831816434396,2.2631415908217196,0.064661188309192
0.35,0.1,3.15,0.45457584409013857,2.272879220450693,0.06493940629859123
0.35,0.1,3.16,0.4565144998446343,2.2825724992231713,0.06521635712066205
0.35,0.1,3.17,0.45844439834668266,2.2922219917334132,0.06549205690666896
0.35,0.1,3.18,0.46036565011716013,2.3018282505858005,0.06576652144530859
0.35,0.1,3.19,0.46227836334982925,2.311391816749146,0.06603976619283275
0.35,0.1,3.2,0.4641826439795321,2.32091321989766,0.06631180628279029
0.35,0.1,3.21,0.4660785957478286,2.330392978739143,0.06658265653540409
0.35,0.1,3.22,0.46796632026620705,2.339831601331035,0.06685233146660101
0.35,0.1,3.23,0.46984591707696405,2.34922958538482,0.06712084529670916
0.35,0.1,3.24,0.4717174837118676,2.358587418559338,0.06738821195883823
0.35,0.1,3.25,0.47358111574869505,2.3679055787434753,0.06765444510695644
0.35,0.1,3.26,0.475436906865743,2.377184534328715,0.06791955812367757
0.35,0.1,3.27,0.4772849488943956,2.3864247444719777,0.0681835641277708
0.35,0.1,3.28,0.47912533186983447,2.395626659349172,0.06844647598140492
0.35,0.1,3.29,0.4809581440799729,2.4047907203998644,0.06870830629713899
0.35,0.1,3.3,0.48278347211268524,2.413917360563426,0.06896906744466932
0.35,0.1,3.31,0.4846014009014097,2.423007004507048,0.06922877155734423
0.35,0.1,3.32,0.4864120137691858,2.432060068845929,0.06948743053845512
0.35,0.1,3.33,0.48821539247119555,2.441076962355978,0.06974505606731365
0.35,0.1,3.34,0.49001161723587117,2.4500580861793555,0.07000165960512446
0.35,0.1,3.35,0.49180076680462326,2.459003834023116,0.07025725240066047
0.35,0.1,3.36,0.4935829184702519,2.467914592351259,0.07051184549575026
0.35,0.1,3.37,0.4953581481140865,2.4767907405704324,0.07076544973058378
0.35,0.1,3.38,0.49712653024191195,2.4856326512095595,0.07101807574884457
0.35,0.1,3.39,0.4988881380187264,2.494440690093632,0.0712697340026752
0.35,0.1,3.4,0.5006430433023754,2.503215216511877,0.0715204347574822
0.35,0.1,3.41,0.502391316676108,2.51195658338054,0.07177018809658686
0.35,0.1,3.42,0.5041330274801004,2.520665137400502,0.07201900392572862
0.35,0.1,3.43,0.5058682438419764,2.529341219209882,0.0722668919774252
0.35,0.1,3.44,0.5075970327063779,2.5379851635318893,0.07251386181519684
0.35,0.1,3.45,0.5093194598636085,2.546597299318042,0.07275992283765835
0.35,0.1,3.46,0.5110355899773917,2.5551779498869585,0.07300508428248453
0.35,0.1,3.47,0.5127454866117781,2.56372743305889,0.07324935523025401
0.35,0.1,3.48,0.5144492122572282,2.572246061286141,0.07349274460817545
0.35,0.1,3.49,0.5161468283559064,2.5807341417795318,0.07373526119370091
0.35,0.1,3.5,0.5178383953262128,2.5891919766310636,0.0739769136180304
0.35,0.1,3.51,0.5195239725865802,2.597619862932901,0.07421771036951146
0.35,0.1,3.52,0.5212036185785648,2.606018092892824,0.07445765979693783
0.35,0.1,3.53,0.5228773907892543,2.6143869539462714,0.07469677011275062
0.35,0.1,3.54,0.5245453457730207,2.6227267288651035,0.07493504939614581
0.35,0.1,3.55,0.5262075391726364,2.631037695863182,0.07517250559609091
0.35,0.1,3.56,0.5278640257397809,2.639320128698904,0.07540914653425441
0.35,0.1,3.57,0.5295148593549565,2.647574296774782,0.07564497990785092
0.35,0.1,3.58,0.531160093046837,2.6558004652341847,0.07588001329240528
0.35,0.1,3.59,0.5327997790110629,2.663998895055314,0.07611425414443755
0.35,0.1,3.6,0.5344339686285099,2.6721698431425494,0.07634770980407284
0.35,0.1,3.61,0.5360627124830427,2.6803135624152135,0.07658038749757753
0.35,0.1,3.62,0.5376860603787752,2.688430301893876,0.07681229433982503
0.35,0.1,3.63,0.5393040613568509,2.6965203067842545,0.07704343733669299
0.35,0.1,3.64,0.5409167637117644,2.704583818558822,0.07727382338739493
0.35,0.1,3.65,0.5425242150072326,2.7126210750361626,0.07750345928674751
0.35,0.1,3.66,0.5441264620916366,2.720632310458183,0.07773235172737666
0.35,0.1,3.67,0.5457235511130456,2.728617755565228,0.07796050730186366
0.35,0.1,3.68,0.5473155275338375,2.7365776376691873,0.07818793250483393
0.35,0.1,3.69,0.5489024361449266,2.744512180724633,0.07841463373498951
0.35,0.1,3.7,0.5504843210796174,2.752421605398087,0.0786406172970882
0.35,0.1,3.71,0.5520612258270903,2.760306129135451,0.07886588940387004
0.35,0.1,3.72,0.5536331932455317,2.7681659662276585,0.0790904561779331
0.35,0.1,3.73,0.555200265574926,2.7760013278746296,0.07931432365356085
0.35,0.1,3.74,0.556762484449512,2.78381242224756,0.07953749777850172
0.35,0.1,3.75,0.5583198909099196,2.791599454549598,0.0797599844157028
0.35,0.1,3.76,0.5598725254149953,2.7993626270749763,0.07998178934499933
0.35,0.1,3.77,0.561420427853325,2.807102139266625,0.08020291826476071
0.35,0.1,3.78,0.5629636375544663,2.8148181877723313,0.08042337679349519
0.35,0.1,3.79,0.5645021932998961,2.8225109664994807,0.08064317047141374
0.35,0.1,3.8,0.5660361333336861,2.83018066666843,0.08086230476195515
0.35,0.1,3.81,0.5675654953729081,2.8378274768645406,0.08108078505327258
0.35,0.1,3.82,0.569090316617786,2.8454515830889298,0.08129861665968371
0.35,0.1,3.83,0.570610633761593,2.853053168807965,0.08151580482308472
0.35,0.1,3.84,0.5721264830003109,2.8606324150015543,0.08173235471433013
0.35,0.1,3.85,0.5736379000420483,2.8681895002102413,0.08194827143457832
0.35,0.1,3.86,0.575144920116236,2.87572460058118,0.08216356001660514
0.35,0.1,3.87,0.5766475779825954,2.8832378899129765,0.08237822542608506
0.35,0.1,3.88,0.5781459079398961,2.89072953969948,0.0825922725628423
0.35,0.1,3.89,0.5796399438345013,2.8981997191725064,0.08280570626207162
0.35,0.1,3.9,0.5811297190687114,2.9056485953435565,0.08301853129553019
0.35,0.1,3.91,0.5826152666089104,2.9130763330445517,0.08323075237270149
0.35,0.1,3.92,0.5840966189935224,2.920483094967612,0.08344237414193177
0.35,0.1,3.93,0.5855738083407795,2.9278690417038975,0.08365340119153994
0.35,0.1,3.94,0.5870468663563102,2.935234331781551,0.08386383805090146
0.35,0.1,3.95,0.5885158243405537,2.9425791217027686,0.08407368919150768
0.35,0.1,3.96,0.5899807131960011,2.9499035659800055,0.08428295902800016
0.35,0.1,3.97,0.5914415634342731,2.9572078171713656,0.08449165191918187
0.35,0.1,3.98,0.5928984051830335,2.9644920259151673,0.08469977216900479
0.35,0.1,3.99,0.5943512681927509,2.971756340963754,0.08490732402753584
0.35,0.1,4.0,0.5958001818433019,2.9790009092165093,0.08511431169190027
0.35,0.1,4.01,0.5972451751504312,2.986225875752156,0.08532073930720445
0.35,0.1,4.02,0.5986862767720648,2.9934313838603237,0.08552661096743783
0.35,0.1,4.03,0.6001235150144835,3.0006175750724173,0.08573193071635478
0.35,0.1,4.04,0.6015569178383593,3.0077845891917963,0.08593670254833705
0.35,0.1,4.05,0.6029865128646623,3.0149325643233116,0.08614093040923747
0.35,0.1,4.06,0.6044123273804323,3.022061636902161,0.08634461819720461
0.35,0.1,4.07,0.6058343883444308,3.029171941722154,0.08654776976349011
0.35,0.1,4.08,0.6072527223926667,3.0362636119633333,0.0867503889132381
0.35,0.1,4.09,0.6086673558438032,3.0433367792190156,0.0869524794062576
0.35,0.1,4.1,0.6100783147044512,3.0503915735222558,0.08715404495777875
0.35,0.1,4.11,0.6114856246743461,3.0574281233717304,0.0873550892391923
0.35,0.1,4.12,0.6128893111514165,3.0644465557570824,0.0875556158787738
0.35,0.1,4.13,0.6142893992367455,3.0714469961837274,0.08775562846239222
0.35,0.1,4.14,0.6156859137394266,3.078429568697133,0.0879551305342038
0.35,0.1,4.15,0.6170788791813191,3.0853943959065955,0.0881541255973313
0.35,0.1,4.16,0.618468319801703,3.092341599008515,0.088352617114529
0.35,0.1,4.17,0.6198542595618377,3.0992712978091883,0.08855060850883396
0.35,0.1,4.18,0.6212367221494266,3.106183610747133,0.0887481031642038
0.35,0.1,4.19,0.6226157309829901,3.11307865491495,0.08894510442614144
0.35,0.1,4.2,0.6239913092161468,3.1199565460807337,0.08914161560230668
0.35,0.1,4.21,0.6253634797418122,3.126817398709061,0.08933763996311603
0.35,0.1,4.22,0.6267322651963053,3.1336613259815262,0.08953318074232933
0.35,0.1,4.23,0.62809768796338,3.1404884398168997,0.0897282411376257
