J,summary,arm_lo,arm_hi,d_amp,d_amp_ci_lo,d_amp_ci_hi,amp_resolved,p_lo,p_hi,d_p,d_p_ci_lo,d_p_ci_hi,p_resolved,is_violation,violation_resolved
4.0,cond_m_neg_collapsers,stress_a0.05,quadratic,0.1824099107754642,0.1782384745098869,0.18660109404046474,True,0.2395,0.162,-0.07749999999999999,-0.0895,-0.066,True,False,False
4.0,cond_m_neg_collapsers,quadratic,coupling_a0.7,0.857724305694306,0.8383252976193459,0.8779743115113007,True,0.162,0.0155,-0.14650000000000002,-0.16199999999999998,-0.131,True,False,False
4.0,amp_over_lam,passive,stress_a0.05,0.029535767104030053,0.02768541858760992,0.0314127352987112,True,0.257,0.2395,-0.017500000000000016,-0.02350000000000002,-0.011987500000000165,True,False,False
4.0,amp_over_lam,stress_a0.05,quadratic,0.4467890325394004,0.44274563858508376,0.45081750506966706,True,0.2395,0.162,-0.07749999999999999,-0.0895,-0.066,True,False,False
4.0,amp_over_lam,quadratic,stress_a2.0,0.16454398895635436,0.11241210101888219,0.22053723216481272,True,0.162,0.0,-0.162,-0.1785,-0.146,True,False,False
4.0,amp_over_lam,stress_a2.0,coupling_a0.7,57.76368951493801,52.78221903251169,63.63418103667831,True,0.0,0.0155,0.0155,0.0105,0.021,True,True,True
4.5,full_mean,passive,stress_a0.05,0.3113994170204961,0.25509660887075836,0.3711419795908262,True,0.288,0.274,-0.013999999999999957,-0.019499999999999962,-0.009000000000000008,True,False,False
4.5,full_mean,stress_a0.05,stress_a2.0,0.8993807911627911,0.8108170719011323,0.9923944240295892,True,0.274,0.0,-0.274,-0.294,-0.255,True,False,False
4.5,full_mean,stress_a2.0,quadratic,9.45523074614798,9.289453332225543,9.613601049974172,True,0.0,0.163,0.163,0.147,0.1795,True,True,True
4.5,full_mean,quadratic,coupling_a0.7,31.698706529650185,31.52822791235638,31.86852360179305,True,0.163,0.019,-0.14400000000000002,-0.15999999999999998,-0.129,True,False,False
