entity,code,year,libdem,foe,csp,J,h,libdem_lag,h_lag,J_lag,delta_libdem,hxJ_lag,libdem_x_J_lag
Germany,DEU,2022,0.806,0.945,0.98,0.05500000000000005,0.98,0.814,0.98,0.04400000000000004,-0.007999999999999896,0.04312000000000004,0.03581600000000003
Germany,DEU,2023,0.812,0.945,0.98,0.05500000000000005,0.98,0.806,0.98,0.05500000000000005,0.006000000000000005,0.053900000000000045,0.04433000000000004
Germany,DEU,2024,0.778,0.92,0.979,0.07999999999999996,0.979,0.812,0.98,0.05500000000000005,-0.03400000000000003,0.053900000000000045,0.04466000000000004
Germany,DEU,2025,0.782,0.914,0.979,0.08599999999999997,0.979,0.778,0.979,0.07999999999999996,0.0040000000000000036,0.07831999999999996,0.06223999999999997
Hungary,HUN,2000,0.75,0.949,0.788,0.051000000000000045,0.788,,,,,,
Hungary,HUN,2001,0.75,0.949,0.788,0.051000000000000045,0.788,0.75,0.788,0.051000000000000045,0.0,0.040188000000000036,0.038250000000000034
Hungary,HUN,2002,0.755,0.955,0.788,0.04500000000000004,0.788,0.75,0.788,0.051000000000000045,0.0050000000000000044,0.040188000000000036,0.038250000000000034
Hungary,HUN,2003,0.759,0.955,0.788,0.04500000000000004,0.788,0.755,0.788,0.04500000000000004,0.0040000000000000036,0.03546000000000003,0.03397500000000003
Hungary,HUN,2004,0.759,0.955,0.788,0.04500000000000004,0.788,0.759,0.788,0.04500000000000004,0.0,0.03546000000000003,0.03415500000000003
Hungary,HUN,2005,0.754,0.955,0.775,0.04500000000000004,0.775,0.759,0.788,0.04500000000000004,-0.0050000000000000044,0.03546000000000003,0.03415500000000003
Hungary,HUN,2006,0.742,0.947,0.775,0.05300000000000005,0.775,0.754,0.775,0.04500000000000004,-0.01200000000000001,0.03487500000000003,0.03393000000000003
Hungary,HUN,2007,0.765,0.952,0.775,0.04800000000000004,0.775,0.742,0.775,0.05300000000000005,0.02300000000000002,0.041075000000000035,0.039326000000000035
Hungary,HUN,2008,0.766,0.952,0.775,0.04800000000000004,0.775,0.765,0.775,0.04800000000000004,0.0010000000000000009,0.03720000000000003,0.03672000000000003
Hungary,HUN,2009,0.766,0.952,0.775,0.04800000000000004,0.775,0.766,0.775,0.04800000000000004,0.0,0.03720000000000003,0.03676800000000004
Hungary,HUN,2010,0.677,0.885,0.705,0.11499999999999999,0.705,0.766,0.775,0.04800000000000004,-0.08899999999999997,0.03720000000000003,0.03676800000000004
Hungary,HUN,2011,0.639,0.863,0.668,0.137,0.668,0.677,0.705,0.11499999999999999,-0.038000000000000034,0.081075,0.077855
