entity,code,year,libdem,foe,csp,J,h,libdem_lag,h_lag,J_lag,delta_libdem,hxJ_lag,libdem_x_J_lag
Venezuela,VEN,2003,0.243,0.652,0.582,0.348,0.582,0.255,0.605,0.33599999999999997,-0.01200000000000001,0.20327999999999996,0.08567999999999999
Venezuela,VEN,2004,0.216,0.638,0.582,0.362,0.582,0.243,0.582,0.348,-0.026999999999999996,0.20253599999999997,0.08456399999999999
Venezuela,VEN,2005,0.182,0.638,0.584,0.362,0.584,0.216,0.582,0.362,-0.034,0.21068399999999998,0.078192
Venezuela,VEN,2006,0.168,0.628,0.571,0.372,0.571,0.182,0.584,0.362,-0.013999999999999985,0.21140799999999998,0.065884
Venezuela,VEN,2007,0.162,0.602,0.599,0.398,0.599,0.168,0.571,0.372,-0.006000000000000005,0.212412,0.062496
Venezuela,VEN,2008,0.159,0.59,0.59,0.41000000000000003,0.59,0.162,0.599,0.398,-0.0030000000000000027,0.238402,0.064476
Venezuela,VEN,2009,0.16,0.591,0.576,0.40900000000000003,0.576,0.159,0.59,0.41000000000000003,0.0010000000000000009,0.2419,0.06519000000000001
Venezuela,VEN,2010,0.154,0.58,0.623,0.42000000000000004,0.623,0.16,0.576,0.40900000000000003,-0.006000000000000005,0.235584,0.06544000000000001
Venezuela,VEN,2011,0.152,0.582,0.627,0.41800000000000004,0.627,0.154,0.623,0.42000000000000004,-0.0020000000000000018,0.26166,0.06468
Venezuela,VEN,2012,0.145,0.571,0.593,0.42900000000000005,0.593,0.152,0.627,0.41800000000000004,-0.007000000000000006,0.26208600000000004,0.06353600000000001
Venezuela,VEN,2013,0.109,0.43,0.506,0.5700000000000001,0.506,0.145,0.593,0.42900000000000005,-0.03599999999999999,0.25439700000000004,0.062205
Venezuela,VEN,2014,0.102,0.392,0.481,0.608,0.481,0.109,0.506,0.5700000000000001,-0.007000000000000006,0.28842,0.062130000000000005
Venezuela,VEN,2015,0.103,0.354,0.476,0.646,0.476,0.102,0.481,0.608,0.0010000000000000009,0.292448,0.062015999999999995
Venezuela,VEN,2016,0.118,0.345,0.486,0.655,0.486,0.103,0.476,0.646,0.015,0.307496,0.066538
Venezuela,VEN,2017,0.082,0.305,0.439,0.6950000000000001,0.439,0.118,0.486,0.655,-0.03599999999999999,0.31833,0.07729
Venezuela,VEN,2018,0.061,0.234,0.39,0.766,0.39,0.082,0.439,0.6950000000000001,-0.021000000000000005,0.305105,0.056990000000000006
Venezuela,VEN,2019,0.06,0.241,0.436,0.759,0.436,0.061,0.39,0.766,-0.0010000000000000009,0.29874,0.046726
Venezuela,VEN,2020,0.056,0.254,0.393,0.746,0.393,0.06,0.436,0.759,-0.003999999999999997,0.330924,0.04554
Venezuela,VEN,2021,0.056,0.247,0.399,0.753,0.399,0.056,0.393,0.746,0.0,0.293178,0.041776
Venezuela,VEN,2022,0.054,0.248,0.345,0.752,0.345,0.056,0.399,0.753,-0.0020000000000000018,0.300447,0.042168000000000004
Venezuela,VEN,2023,0.053,0.231,0.356,0.769,0.356,0.054,0.345,0.752,-0.0010000000000000009,0.25944,0.040608
Venezuela,VEN,2024,0.046,0.211,0.38,0.789,0.38,0.053,0.356,0.769,-0.006999999999999999,0.273764,0.040757
Venezuela,VEN,2025,0.042,0.148,0.38,0.852,0.38,0.046,0.38,0.789,-0.003999999999999997,0.29982000000000003,0.036294
