window_end,rho_bar,DB,max_drawdown_pct,drawdown_corr,tail_5,tail_3,tail_10,J,decile
2021-03-10,0.40240102505080755,1.4984041407386703,-0.1864291381050469,0.6247225185252134,1,1,1,0.6733629773796374,0
2021-03-11,0.39740060407173683,1.5064001644463076,-0.1864291381050469,0.6247225185252134,1,1,1,0.6594772692388255,0
2021-03-12,0.3767100157241306,1.532933042510026,-0.18642913810504702,0.6247225185252134,1,1,1,0.6043896504478371,0
2021-03-13,0.3834733578850101,1.5217432601463354,-0.18642913810504702,0.6247225185252134,1,1,1,0.6219899217485682,0
2021-03-14,0.38528646522517523,1.5161262021420938,-0.1864291381050469,0.6247225185252134,1,1,1,0.6267740068002721,0
2021-03-15,0.39687699530525516,1.4984994351142393,-0.1864291381050469,0.6247225185252134,1,1,1,0.6580365733290577,0
2021-03-16,0.4000424627502424,1.4965187434982725,-0.1864291381050469,0.6247225185252134,1,1,1,0.6667846270988806,0
2021-03-17,0.41122390539747694,1.4859491520645136,-0.1864291381050469,0.6247225185252134,1,1,1,0.6984385221602621,0
2021-03-18,0.41847489440391106,1.4784914743216042,-0.1864291381050469,0.6247225185252134,1,1,1,0.7196162132586792,0
2021-03-19,0.41994745887693713,1.4778707400154416,-0.1864291381050469,0.6247225185252134,1,1,1,0.7239817587280286,0
2021-03-20,0.42203478093250546,1.4781870623409281,-0.1864291381050469,0.6247225185252134,1,1,1,0.7302079208389535,0
2021-03-21,0.42542606848504827,1.474250730796353,-0.1864291381050469,0.6247225185252134,1,1,1,0.7404200663321909,0
2021-03-22,0.38563866356313936,1.5280809915071032,-0.1864291381050469,0.6247225185252134,1,1,1,0.6277065965767726,0
2021-03-23,0.3790394830097747,1.537440656316528,-0.1864291381050469,0.6247225185252134,1,1,1,0.6104083474533394,0
2021-03-24,0.39573134573316693,1.5152686734963485,-0.1864291381050469,0.6247225185252134,1,1,1,0.6548930561577994,0
2021-03-25,0.40063102603112416,1.5115791410949018,-0.1864291381050469,0.6247225185252134,1,1,1,0.6684213621840362,0
2021-03-26,0.4085205488985467,1.5010464768581917,-0.1864291381050469,0.6247225185252134,1,1,1,0.6906758098490143,0
2021-03-27,0.4081294258239725,1.5022735420794966,-0.1864291381050469,0.6247225185252134,1,1,1,0.6895585684288322,0
2021-03-28,0.39208034579221557,1.5241825565774518,-0.1864291381050469,0.6247225185252134,1,1,1,0.6449542189965191,0
2021-03-29,0.3873969323420872,1.5296450004923747,-0.1864291381050469,0.6247225185252134,1,1,1,0.6323783748311488,0
2021-03-30,0.3878142777091691,1.5293959947934281,-0.1864291381050469,,1,1,1,0.633491216126289,0
2021-03-31,0.3974107473894813,1.504994270417164,-0.1864291381050469,,1,1,1,0.6595052030347879,0
2021-04-01,0.40092652856065975,1.4986355801480087,-0.1864291381050469,,1,1,1,0.6692443375891599,0
2021-04-02,0.418566078689835,1.4714012826868326,-0.1864291381050469,,1,1,1,0.71988589476628,0
2021-04-03,0.417104673721135,1.4731960596831413,-0.1864291381050469,,1,1,1,0.7155738859391481,0
2021-04-04,0.4149142095300133,1.474617565041812,-0.18642913810504702,,1,1,1,0.7091510617557841,0
2021-04-05,0.40765895684410675,1.4871502260216043,-0.18642913810504702,,1,1,1,0.6882166305278602,0
2021-04-06,0.3950745566968958,1.50376191864109,-0.18642913810504702,,1,1,1,0.6530962799971691,0
2021-04-07,0.41066364515841025,1.481863213143866,-0.18642913810504702,,1,1,1,0.6968238795802684,0
2021-04-08,0.4220617544046635,1.4615233003143644,-0.18642913810504702,,1,1,1,0.7302886729184983,0
2021-04-09,0.40863717707979036,1.4831049368316687,-0.18642913810504702,,1,1,1,0.6910092438038267,0
2021-04-10,0.4041068970609981,1.493291070931434,-0.18642913810504702,,1,1,1,0.6781533383553261,0
2021-04-11,0.42378293353297336,1.4726747816389256,-0.18642913810504702,,1,1,1,0.7354571014901098,0
2021-04-12,0.4282245779038469,1.4674347813784734,-0.18642913810504702,,1,1,1,0.7489384142010815,0
2021-04-13,0.42654871749323886,1.4776459422099928,-0.18642913810504702,,1,1,1,0.7438272971134383,0
2021-04-14,0.43131772167715166,1.47200704650912,-0.18642913810504702,,1,1,1,0.7584511389192384,0
2021-04-15,0.4308073299367854,1.474802785242736,-0.18642913810504702,,1,1,1,0.7568743460609566,0
2021-04-16,0.4306724013778151,1.4734726550700699,-0.18642913810504702,,1,1,1,0.7564579732654352,0
2021-04-17,0.4347218283723712,1.468517855649719,-0.18642913810504702,,1,1,1,0.769040536486061,0
2021-04-18,0.4315314328226128,1.4820138476071585,-0.18642913810504702,,1,1,1,0.759112214357414,0
2021-04-19,0.43922943171558776,1.4727999733424173,-0.18642913810504702,0.32114170097179545,1,1,1,0.7832604928952315,0
2021-04-20,0.4418599984687869,1.4631043056382766,-0.18642913810504702,0.32114170097179545,1,1,1,0.791665168697063,0
2021-04-21,0.46955262059846475,1.4247725655892614,-0.18642913810504702,0.32114170097179545,1,1,1,0.8852011317846955,0
2021-04-22,0.46696213051019897,1.4325204445531619,-0.16467702998914446,0.41459056936152405,1,1,1,0.8760393158503978,0
2021-04-23,0.4781880219546472,1.4083106415251352,-0.16576251270278364,0.3979588424396943,1,1,1,0.916399090235307,0
2021-04-24,0.45009134127421163,1.4472766366192462,-0.21280137126248477,0.4020014301528565,1,1,1,0.8184838229627683,0
2021-04-25,0.44492277648156475,1.4556702965409456,-0.21280137126248477,0.4020014301528565,1,1,1,0.8015511313207179,0
2021-04-26,0.44242867267055064,1.4538213274004856,-0.21280137126248477,0.4020014301528565,1,1,1,0.7934925111547837,0
2021-04-27,0.4517101678530729,1.4432617805703798,-0.21280137126248477,0.4020014301528565,1,1,1,0.8238528992673833,0
2021-04-28,0.45322855986461924,1.4412319211878695,-0.21280137126248477,0.4020014301528565,1,1,1,0.8289177645277153,0
2021-04-29,0.4474225345310103,1.4511124373809345,-0.21280137126248477,0.4020014301528565,1,1,1,0.8097010147731393,0
2021-04-30,0.43292409230005324,1.4681660727914982,-0.21280137126248477,0.4020014301528565,1,1,1,0.7634323490412215,0
2021-05-01,0.43243984687388126,1.471638410631616,-0.21280137126248477,,1,1,1,0.7619277789182425,0
2021-05-02,0.4364282019738038,1.4671687274887568,-0.21280137126248477,,1,1,1,0.7743968088934029,0
2021-05-03,0.425615171471614,1.475885380146112,-0.21280137126248477,,1,1,1,0.7409930595870189,0
2021-05-04,0.4267939793674606,1.4701884531130247,-0.21280137126248477,,1,1,1,0.7445734413195602,0
2021-05-05,0.44692300140784424,1.4400616084140272,-0.21280137126248477,,1,1,1,0.8080665125208172,0
2021-05-06,0.43980082752455707,1.4487098456647995,-0.21280137126248477,,1,1,1,0.785079395210703,0
2021-05-07,0.44318503090994366,1.44430627494618,-0.21280137126248477,,1,1,1,0.7959287294919423,0
2021-05-08,0.43692548764123534,1.4527206577823324,-0.21280137126248477,,1,1,1,0.7759638876405881,0
2021-05-09,0.4301210909579516,1.4654520098397323,-0.21280137126248477,,1,1,1,0.7547587463466123,0
2021-05-10,0.44216610207373186,1.442475003090331,-0.21280137126248477,,1,1,1,0.7926483200778438,0
2021-05-11,0.44612007306254087,1.4364188190093736,-0.21280137126248477,,1,1,1,0.8054454609490012,0
2021-05-12,0.48368724943451963,1.3845881353269212,-0.21280137126248477,,1,1,1,0.9368105840980524,0
2021-05-13,0.46464032043755066,1.4024571999146007,-0.21280137126248477,,1,1,1,0.8679030905302809,0
