J,mu,condition,alpha,p_collapse,p_rigidity,p_fragmentation,p_mixed,n_collapsed,rigidity_share_of_collapsed,mean_final_m,mean_final_wealth
3.5,40,active_coupling,1.0,0.02,0.01,0.0,0.01,2,0.5,0.9968246124199781,483.91708038177995
3.5,50,active_coupling,1.0,0.02,0.02,0.0,0.0,2,1.0,0.9877640495161633,980.7715960445345
3.5,60,active_coupling,1.0,0.02,0.01,0.0,0.01,2,0.5,0.9795838829328885,1477.4848653728875
3.5,70,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9872423623401481,1972.8196895740236
3.5,80,active_coupling,1.0,0.01,0.0,0.0,0.01,1,0.0,0.9697220520648215,2468.314256516688
3.5,90,active_coupling,1.0,0.02,0.01,0.0,0.01,2,0.5,0.9871519303173397,2965.214061726752
3.5,100,active_coupling,1.0,0.01,0.01,0.0,0.0,1,1.0,0.9905023714934441,3457.5472748750612
4.0,20,active_coupling,1.0,1.0,0.69,0.01,0.3,100,0.69,-0.08629653895744197,0.0
4.0,30,active_coupling,1.0,1.0,0.88,0.0,0.12,100,0.88,-0.017219882574337105,0.0
4.0,40,active_coupling,1.0,0.01,0.0,0.0,0.01,1,0.0,0.978950159936866,483.5610658351039
4.0,50,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.985541923324681,979.8210131402936
4.0,60,active_coupling,1.0,0.01,0.01,0.0,0.0,1,1.0,0.9811782102611883,1476.3386432899745
4.0,70,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9790674330284691,1969.5675775855418
4.0,80,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9865710116204337,2469.6454012085683
4.0,90,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.989419719223069,2965.123378293838
4.0,100,active_coupling,1.0,0.01,0.01,0.0,0.0,1,1.0,0.9877090600089182,3458.902852365088
4.5,20,active_coupling,1.0,1.0,0.86,0.01,0.13,100,0.86,-0.06344958550225528,0.0
4.5,30,active_coupling,1.0,1.0,0.86,0.01,0.13,100,0.86,0.07725284633066855,0.0
4.5,40,active_coupling,1.0,0.02,0.02,0.0,0.0,2,1.0,0.9859554519163791,483.60798528677
4.5,50,active_coupling,1.0,0.02,0.02,0.0,0.0,2,1.0,0.9858292806573278,979.5419686649902
4.5,60,active_coupling,1.0,0.01,0.01,0.0,0.0,1,1.0,0.9804832874553968,1477.54439114549
4.5,70,active_coupling,1.0,0.01,0.01,0.0,0.0,1,1.0,0.9810654412865317,1972.4437486397242
4.5,80,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9825892217027723,2470.733020877864
4.5,90,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.984134079838456,2961.1884059092076
4.5,100,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9943001231959897,3465.3755530184762
5.0,20,active_coupling,1.0,1.0,0.83,0.0,0.17,100,0.83,0.18772737260033143,0.0
5.0,30,active_coupling,1.0,1.0,0.84,0.0,0.16,100,0.84,0.004268277044071269,0.0
5.0,40,active_coupling,1.0,0.01,0.01,0.0,0.0,1,1.0,0.9660624180037598,479.7656063839742
5.0,50,active_coupling,1.0,0.03,0.03,0.0,0.0,3,1.0,0.9886815235274129,979.9708986646184
5.0,60,active_coupling,1.0,0.01,0.01,0.0,0.0,1,1.0,0.9713332459592909,1476.0916019542713
5.0,70,active_coupling,1.0,0.02,0.02,0.0,0.0,2,1.0,0.9786153557552266,1969.6026361387133
5.0,80,active_coupling,1.0,0.01,0.01,0.0,0.0,1,1.0,0.9812656041493478,2468.9210456862984
5.0,90,active_coupling,1.0,0.01,0.01,0.0,0.0,1,1.0,0.9823628321141554,2965.4299989567517
5.0,100,active_coupling,1.0,0.0,0.0,0.0,0.0,0,0.0,0.9894825618645807,3463.355753713138
