J,mu,seed,collapsed,collapse_type,collapse_step,final_m,final_W,condition,alpha
0.5,30,11,1,2,286,-0.4975513748761061,0.0,active_coupling,1.0
0.5,30,12,1,2,294,-0.13159386167518342,0.0,active_coupling,1.0
0.5,30,13,1,2,340,0.4013985946219887,0.0,active_coupling,1.0
0.5,30,14,1,3,316,-0.2947775913253403,0.0,active_coupling,1.0
0.5,30,15,1,2,412,0.15126119062738702,0.0,active_coupling,1.0
0.5,30,16,1,3,283,0.45351411398289243,0.0,active_coupling,1.0
0.5,30,17,1,3,324,-0.06702258308128634,0.0,active_coupling,1.0
0.5,30,18,1,3,388,0.7609151782700382,0.0,active_coupling,1.0
0.5,30,19,1,3,369,0.23946754248922308,0.0,active_coupling,1.0
0.5,30,20,1,3,295,-0.4889265274237739,0.0,active_coupling,1.0
0.5,30,21,1,3,312,0.7857976508667938,0.0,active_coupling,1.0
0.5,30,22,1,3,309,0.7771355220950259,0.0,active_coupling,1.0
0.5,30,23,1,3,331,0.32852681577071424,0.0,active_coupling,1.0
0.5,30,24,1,2,358,0.5428178257561234,0.0,active_coupling,1.0
0.5,30,25,1,3,379,-0.09056860855789231,0.0,active_coupling,1.0
0.5,30,26,1,2,360,-0.2580113725665769,0.0,active_coupling,1.0
0.5,30,27,1,3,340,-0.09515391501419543,0.0,active_coupling,1.0
0.5,30,28,1,2,297,-0.4786027919034646,0.0,active_coupling,1.0
0.5,30,29,1,3,377,-0.10134727264733177,0.0,active_coupling,1.0
0.5,30,30,1,2,344,0.32706698074991297,0.0,active_coupling,1.0
0.5,30,31,1,3,324,0.1646222622017863,0.0,active_coupling,1.0
0.5,30,32,1,3,354,-0.3337971687913167,0.0,active_coupling,1.0
0.5,30,33,1,3,319,0.18592705698415582,0.0,active_coupling,1.0
0.5,30,34,1,2,312,-0.025950805111984478,0.0,active_coupling,1.0
0.5,30,35,1,2,297,-0.5607262415466908,0.0,active_coupling,1.0
0.5,30,36,1,2,330,0.24446507833089495,0.0,active_coupling,1.0
0.5,30,37,1,2,319,0.08569930943331461,0.0,active_coupling,1.0
