J,mu,seed,collapsed,collapse_type,collapse_step,final_m,final_W,condition,alpha
0.5,30,12,1,2,297,0.01963078690864936,0.0,active_stress,2.0
0.5,30,13,1,2,336,0.44405405454603586,0.0,active_stress,2.0
0.5,30,14,1,3,315,-0.1350476727485267,0.0,active_stress,2.0
0.5,30,15,1,2,401,0.1952911936745971,0.0,active_stress,2.0
0.5,30,16,1,3,287,0.49607548497910925,0.0,active_stress,2.0
0.5,30,17,1,3,322,0.0035050680850404956,0.0,active_stress,2.0
0.5,30,18,1,2,371,0.7688574341292317,0.0,active_stress,2.0
0.5,30,19,1,3,352,0.2562852981931416,0.0,active_stress,2.0
0.5,30,20,1,3,296,-0.3430810660764299,0.0,active_stress,2.0
0.5,30,21,1,3,311,0.7858083875918724,0.0,active_stress,2.0
0.5,30,22,1,2,308,0.7840508758560855,0.0,active_stress,2.0
0.5,30,23,1,3,327,0.35539194212912906,0.0,active_stress,2.0
0.5,30,24,1,2,347,0.5428187937244934,0.0,active_stress,2.0
0.5,30,25,1,2,370,-0.027422111685107456,0.0,active_stress,2.0
0.5,30,26,1,2,356,-0.13337166218492785,0.0,active_stress,2.0
0.5,30,27,1,2,331,-0.06228621857624152,0.0,active_stress,2.0
0.5,30,28,1,3,299,-0.29679186910002286,0.0,active_stress,2.0
0.5,30,29,1,2,364,-0.10002382151097011,0.0,active_stress,2.0
0.5,30,30,1,3,340,0.3377484041933694,0.0,active_stress,2.0
0.5,30,31,1,3,320,0.1917022617245921,0.0,active_stress,2.0
0.5,30,32,1,2,344,-0.16747826600680027,0.0,active_stress,2.0
0.5,30,33,1,3,317,0.20599149365397934,0.0,active_stress,2.0
0.5,30,34,1,2,310,0.00034934074778884827,0.0,active_stress,2.0
0.5,30,35,1,2,302,-0.3245625330116039,0.0,active_stress,2.0
0.5,30,36,1,2,326,0.2731987417039579,0.0,active_stress,2.0
0.5,30,37,1,2,316,0.11915999002171883,0.0,active_stress,2.0
0.5,30,38,1,2,388,0.21937139870255756,0.0,active_stress,2.0
0.5,30,39,1,3,335,0.29306159349241795,0.0,active_stress,2.0
0.5,30,40,1,2,330,-0.22134194876003221,0.0,active_stress,2.0
0.5,30,41,1,2,327,0.1236006952714368,0.0,active_stress,2.0
0.5,30,42,1,2,341,-0.13577615070557467,0.0,active_stress,2.0
0.5,30,43,1,2,347,0.2716217576194546,0.0,active_stress,2.0
0.5,30,44,1,3,363,0.4023684747664185,0.0,active_stress,2.0
0.5,30,45,1,2,351,0.13901491259631354,0.0,active_stress,2.0
0.5,30,46,1,3,346,0.22130428964383445,0.0,active_stress,2.0
0.5,30,47,1,2,315,0.23592809980225754,0.0,active_stress,2.0
0.5,30,48,1,3,308,-0.39053287864871394,0.0,active_stress,2.0
0.5,30,49,1,2,365,0.032507886322222235,0.0,active_stress,2.0
0.5,30,50,1,3,319,0.6080114322170663,0.0,active_stress,2.0
0.5,30,51,1,2,319,0.03257041209933825,0.0,active_stress,2.0
0.5,30,52,1,3,360,-0.18731213042557304,0.0,active_stress,2.0
0.5,30,53,1,2,290,0.06279018854779023,0.0,active_stress,2.0
0.5,30,54,1,2,334,0.22825881146944202,0.0,active_stress,2.0
