J,mu,condition,alpha,p_collapse,p_rigidity,p_fragmentation,p_mixed,n_collapsed,rigidity_share_of_collapsed,mean_final_m,mean_final_wealth
4.5,100,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9943000855558052,3465.375428756306
5.0,20,active_stress,2.0,1.0,0.8,0.0,0.2,100,0.8,0.9732871520357362,0.0
5.0,30,active_stress,2.0,1.0,0.91,0.0,0.09,100,0.91,0.9665848288285388,0.0
5.0,40,active_stress,2.0,0.01,0.01,0.0,0.0,1,1.0,0.9825295883352939,479.0627827461609
5.0,50,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9881072485408344,978.9919137453425
5.0,60,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9711692117295321,1475.925228220263
5.0,70,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9785982927209921,1969.5713908605228
5.0,80,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9812640251601381,2468.9158841551844
5.0,90,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9823626204329932,2965.4294824776675
5.0,100,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9894825440084405,3463.3556617523714
