ramp_steps,mult,seed_idx,collapsed,collapse_step,collapse_J,collapse_type,final_m,final_wealth
1000,40,30,1,407,2.3315,3,0.9944318621262509,488.91458663830514
1000,40,31,1,445,2.5025,1,0.9728647197719055,486.6074337722904
1000,40,32,1,349,2.0705,3,0.9998371379951031,484.3422586134396
1000,40,33,1,380,2.21,3,0.999999,477.79677566797085
1000,40,34,1,362,2.129,1,0.98903140381613,487.6753929887216
1000,40,35,1,349,2.0705,2,0.999999,478.09821965224205
1000,40,36,1,319,1.9355,3,0.999999,483.35577492681773
1000,40,37,0,-1,,0,0.9521388768387749,482.337032997498
1000,40,38,0,-1,,0,0.9443161881032248,481.00583647549945
1000,40,39,1,455,2.5475,1,0.99991265407117,484.19269567676713
1000,40,40,1,300,1.85,3,0.999999,484.33179422509306
1000,40,41,1,539,2.9255,1,0.999999,483.42403348606973
1000,40,42,0,-1,,0,0.9831831983037492,487.60508712425326
1000,40,43,1,596,3.182,1,0.9997095872204556,486.8620092769815
1000,40,44,1,434,2.4530000000000003,3,0.999943352885817,481.6706776220167
1000,40,45,1,299,1.8455,2,0.9930181341030831,471.84412651227586
1000,40,46,0,-1,,0,0.9996104586333848,467.3491357747541
1000,40,47,0,-1,,0,0.999999,484.6216790035769
1000,40,48,1,348,2.066,2,0.9940482967694096,471.02525542149226
1000,40,49,1,773,3.9785,1,0.9815444532564184,470.35118176459764
1000,40,50,1,330,1.985,3,0.9996425118092377,483.926833050214
1000,40,51,1,326,1.967,3,0.9946935748266172,475.92685837192175
1000,40,52,0,-1,,0,0.999999,489.46084755767816
1000,40,53,1,353,2.0885,3,0.9953086751209073,475.425658949661
1000,40,54,0,-1,,0,0.9979945117182463,490.9865750026002
1000,40,55,1,321,1.9445,1,0.999999,483.8090786073384
1000,40,56,0,-1,,0,0.9980805410203919,488.55202117340946
1000,40,57,0,-1,,0,0.9972582506997167,488.6255925633865
1000,40,58,0,-1,,0,0.9983695644714954,470.15744572290737
1000,40,59,0,-1,,0,0.999999,490.5034414800111
1000,40,60,0,-1,,0,0.904625558378759,486.5131842229769
1000,40,61,0,-1,,0,0.999999,485.22047986102024
1000,40,62,0,-1,,0,0.7600472340937808,479.3990859684863
1000,40,63,0,-1,,0,0.9998489599321663,479.9631977057154
1000,40,64,1,722,3.749,3,0.999999,483.05746950603856
1000,40,65,1,486,2.687,1,0.999999,484.3431323394482
1000,40,66,0,-1,,0,0.9493421784447783,480.39852408142696
1000,40,67,0,-1,,0,0.9998441354570666,486.9239285150939
1000,40,68,1,331,1.9895,1,0.9659682021470258,483.7607575777568
1000,40,69,1,356,2.1020000000000003,3,0.999999,478.6497492237473
1000,40,70,0,-1,,0,0.999999,481.38235659544875
1000,40,71,0,-1,,0,0.998077848447713,480.388716349328
1000,40,72,1,362,2.129,3,0.999999,486.96711876942135
1000,40,73,0,-1,,0,0.9787145760548676,472.1934440297372
1000,40,74,0,-1,,0,0.9997921800608919,490.9092862561044
1000,40,75,0,-1,,0,0.999999,481.64356504532947
1000,40,76,1,507,2.7815,3,0.9945018061253019,485.47563071821844
1000,40,77,0,-1,,0,0.9945182254352102,486.5738782596615
1000,40,78,1,417,2.3765,3,0.9998028642697985,479.4659932563723
1000,40,79,1,328,1.976,3,0.999999,480.1602265742626
1000,40,80,1,731,3.7895,1,0.9998155390547337,481.47843100734997
1000,40,81,1,375,2.1875,3,0.9998363692329144,490.21978293246354
1000,40,82,0,-1,,0,0.999999,486.18434471278965
1000,40,83,1,382,2.2190000000000003,3,0.9975611170083739,482.6817168518447
1000,40,84,1,496,2.732,3,0.9979961796616305,472.8705424999211
1000,40,85,1,329,1.9805,3,0.9990711292492808,482.6089444787254
1000,40,86,0,-1,,0,0.9869422531132475,479.79648285540543
1000,40,87,1,529,2.8805,3,0.9998922057991487,485.1276352950308
1000,40,88,0,-1,,0,0.9999346768077025,484.8501343252726
1000,40,89,1,469,2.6105,3,0.9896089114336861,486.455355100677
1000,40,90,1,439,2.4755000000000003,3,0.999999,485.5970399005203
1000,40,91,1,568,3.056,1,0.999999,423.20890178198556
1000,40,92,0,-1,,0,0.9999696067571444,427.0510843378138
1000,40,93,1,383,2.2235,2,0.9979138183027325,476.3682252149252
1000,40,94,1,3125,5.0,1,0.9996726153746548,468.2128458547213
1000,40,95,0,-1,,0,0.999999,473.696276165826
1000,40,96,1,448,2.516,3,0.9707597098361616,490.498430250315
