level,J,mult,seed_idx,collapsed,collapse_step,collapse_type,final_m,final_wealth,final_EC
L2,0.5,30,83,1,345,3,0.5028364745079502,0.0,0.32959389961995733
L2,0.5,30,84,1,316,2,0.14758333771061047,0.0,0.25966396044650286
L2,0.5,30,85,1,331,3,0.4340801202134261,0.0,0.08986861275889846
L2,0.5,30,86,1,293,3,0.4380118526633448,0.0,0.6919187426383449
L2,0.5,30,87,1,311,2,-0.03206118801336688,0.0,0.1730060590321337
L2,0.5,30,88,1,371,3,0.20571586420058446,0.0,0.363327136880502
L2,0.5,30,89,1,296,3,-0.37270554134744277,0.0,0.3802828170153803
L2,0.5,30,90,1,329,2,-0.44560869483348026,0.0,0.09680089020735258
L2,0.5,30,91,1,341,2,-0.08108736304823916,0.0,0.09480588762852923
L2,0.5,30,92,1,323,3,-0.020764523708857577,0.0,0.17902795952506778
L2,0.5,30,93,1,332,3,-0.1083478907489176,0.0,0.16245786475354768
L2,0.5,30,94,1,336,3,-0.3082039064305232,0.0,0.11060806533142746
L2,0.5,30,95,1,315,2,-0.5025579707274087,0.0,0.17442139440720314
L2,0.5,30,96,1,350,3,0.373669176502421,0.0,0.09483741330258712
L2,0.5,30,97,1,360,2,-0.2889383919145718,0.0,0.10218815366054157
L2,0.5,30,98,1,304,2,-0.09825135837947094,0.0,0.5330133055065464
L2,0.5,30,99,1,337,3,0.2331245024835802,0.0,0.7561780624495017
L2,0.5,40,0,1,438,3,-0.14036772328653246,0.0,0.5254005436848967
L2,0.5,40,1,1,396,3,0.07863918003438075,0.0,0.4979950103069555
L2,0.5,40,2,1,372,3,0.22494154115636228,0.0,0.36589805608505416
L2,0.5,40,3,1,424,2,0.3797431330898191,4.3703772492707,0.07588848387435178
L2,0.5,40,4,1,638,3,-0.46701238119705585,0.0,0.2861540639955546
L2,0.5,40,5,1,362,3,0.013541406721969212,0.0,0.7653900549944617
L2,0.5,40,6,1,417,3,0.026605679054746575,0.0,0.1796809307483627
L2,0.5,40,7,1,370,2,0.13140349982045385,0.0,0.8067465602638612
L2,0.5,40,8,1,346,2,0.5005227100191377,0.0005227100191378398,0.9134127651984897
L2,0.5,40,9,1,425,2,-0.5644859103898651,0.0,0.07958159372275761
L2,0.5,40,10,1,430,2,0.26945067228021025,0.0,0.2828849758748708
L2,0.5,40,11,1,530,3,0.08859598022718664,0.0,0.6549913428655041
L2,0.5,40,12,1,489,3,-0.09750698463903182,0.0,0.28295911914447935
L2,0.5,40,13,1,428,2,0.1427489082221719,0.0,0.3141030222843318
