J,mult,p_collapse,p_rigidity,p_fragmentation,p_mixed,mean_final_m,mean_final_wealth,mean_final_EC,mean_minsky_count
3.5,60,0.66,0.45,0.01,0.2,0.8671759195023557,874.919977196198,0.05993510695497139,1.17
3.5,70,0.54,0.39,0.01,0.14,0.8923183476938986,1332.8033490176956,0.05852025585134691,1.1
3.5,80,0.51,0.36,0.0,0.15,0.9283329174397119,1766.2459517918383,0.061840947422178695,1.07
3.5,90,0.42,0.33,0.0,0.09,0.9477344394388956,2194.6924094495525,0.056429210852521276,1.08
3.5,100,0.34,0.28,0.0,0.06,0.916987384047904,2610.7709580756423,0.05826333953236856,1.03
4.0,20,1.0,0.82,0.02,0.16,-0.08148407369742854,0.0,0.05786115362475912,0.73
4.0,30,1.0,0.68,0.04,0.28,0.2189219139533466,0.0,0.07606935114782468,0.73
4.0,40,0.98,0.8,0.02,0.16,0.10294563608211198,68.14225059916323,0.06052865888281728,1.65
4.0,50,0.89,0.64,0.02,0.23,0.526972821073957,410.64413230399805,0.05875367635866018,1.33
4.0,60,0.53,0.4,0.02,0.11,0.789670548249159,879.2744385688652,0.05768555685132613,1.14
4.0,70,0.45,0.36,0.01,0.08,0.9099237779526084,1356.5747173403768,0.06537703156515913,1.11
4.0,80,0.38,0.33,0.0,0.05,0.9533839900318474,1804.6131978536555,0.05680394521342733,1.08
4.0,90,0.35,0.29,0.01,0.05,0.9349600649702381,2204.769144034069,0.058481502856670614,1.03
4.0,100,0.28,0.22,0.0,0.06,0.9525256752840556,2647.242024517752,0.05622620765421505,1.05
4.5,20,1.0,0.87,0.01,0.12,0.12133336305266523,0.0,0.0566522073530334,0.6
4.5,30,1.0,0.87,0.01,0.12,0.11140475830732237,0.0,0.057809576259153346,0.65
4.5,40,0.91,0.73,0.02,0.16,0.13968662860687472,79.73279099851072,0.06257482787724788,1.46
4.5,50,0.74,0.64,0.0,0.1,0.4065376525630977,395.09117660072565,0.05806248202779854,1.14
4.5,60,0.51,0.41,0.02,0.08,0.85385218673246,933.1864113850258,0.06546257484246812,1.13
4.5,70,0.42,0.35,0.0,0.07,0.8782601733819785,1325.254638996914,0.05530313577362685,1.08
4.5,80,0.4,0.33,0.02,0.05,0.9719393166050121,1819.2884359164495,0.0556324062278333,1.08
4.5,90,0.36,0.32,0.0,0.04,0.9452049048081024,2234.629531404503,0.05601131280439817,1.06
4.5,100,0.37,0.28,0.0,0.09,0.9075958615249113,2557.976359398262,0.055715970248915975,1.04
5.0,20,1.0,0.82,0.0,0.18,0.11571952143432546,0.0,0.0613606615637765,0.61
5.0,30,1.0,0.88,0.01,0.11,0.04078173032029664,0.0,0.05629021010795204,0.69
5.0,40,0.89,0.76,0.01,0.12,0.0942349791276584,83.55955518881315,0.05676335972914165,1.29
5.0,50,0.71,0.56,0.02,0.13,0.4591155355875211,408.6678027459077,0.057307786622161634,1.08
5.0,60,0.47,0.43,0.01,0.03,0.7355109198158212,866.8672804560056,0.05663685137736288,1.03
5.0,70,0.36,0.31,0.0,0.05,0.8181239225394152,1302.751650098245,0.0554351117702877,0.95
5.0,80,0.39,0.3,0.0,0.09,0.8131196761856007,1667.3415223297782,0.0554688017743233,0.95
5.0,90,0.39,0.33,0.0,0.06,0.9143522417380379,2179.8729366797043,0.055441961818428254,1.01
5.0,100,0.37,0.33,0.01,0.03,0.9136412872290197,2599.0273429600215,0.055570956508228214,0.99
