J,mult,p_collapse,p_rigidity,p_fragmentation,p_mixed,mean_final_m,mean_final_wealth,mean_final_EC
4.0,20,1.0,0.81,0.03,0.16,0.01787149926157191,0.0,0.06647586867359025
4.0,30,1.0,0.75,0.03,0.22,0.014061500605031599,0.0,0.06230402806788427
4.0,40,0.89,0.69,0.01,0.19,0.4497870068386377,296.13291010632497,0.06494484908323982
4.0,50,0.59,0.45,0.0,0.14,0.7735354797178918,832.5971965580709,0.06169503747406954
4.0,60,0.47,0.37,0.02,0.08,0.9461101923706504,1401.9144706789975,0.05668954417776494
4.0,70,0.39,0.31,0.0,0.08,0.9542496227509959,1890.7090502140645,0.05624451261308412
4.0,80,0.34,0.29,0.01,0.04,0.9489884970892394,2399.6634588774577,0.05623695281726859
4.0,90,0.34,0.23,0.01,0.1,0.9525972351177983,2898.7567181151285,0.060635732423987954
4.0,100,0.29,0.23,0.0,0.06,0.9369297955323667,3386.382518475867,0.057391016117503295
4.5,20,1.0,0.89,0.0,0.11,0.013092143019755224,0.0,0.05950826954760774
4.5,30,1.0,0.83,0.0,0.17,-0.13633663238119678,0.0,0.056824848686559556
4.5,40,0.85,0.72,0.0,0.13,0.28743563640475567,276.8738342673352,0.05843621385413192
4.5,50,0.54,0.47,0.0,0.07,0.8411452143714397,872.3000479521754,0.05787706024000894
4.5,60,0.4,0.31,0.0,0.09,0.8668042742719446,1366.5182849692003,0.05732305214297547
4.5,70,0.4,0.34,0.0,0.06,0.8958209794744617,1879.8797321102984,0.05726797638982315
4.5,80,0.44,0.34,0.0,0.1,0.9172100192649525,2325.5613610626524,0.05547715286488674
4.5,90,0.37,0.29,0.0,0.08,0.9039258718190127,2828.7490325332938,0.05906388547283057
4.5,100,0.27,0.23,0.0,0.04,0.9318232247804668,3374.9702417569515,0.05649221490425607
5.0,20,1.0,0.89,0.0,0.11,-0.05372220822121905,0.0,0.056029837276657384
5.0,30,1.0,0.91,0.0,0.09,0.046989082005228645,0.0,0.05912548364944922
5.0,40,0.74,0.64,0.0,0.1,0.3098682777351565,293.74260737193805,0.05738061183649228
5.0,50,0.42,0.37,0.0,0.05,0.682520721584773,816.6974711001089,0.058289325476277305
5.0,60,0.42,0.34,0.0,0.08,0.7927315712856335,1318.2872094181291,0.05674059251348765
5.0,70,0.39,0.34,0.0,0.05,0.7441500479313633,1704.2277990401574,0.05576684146312542
5.0,80,0.36,0.29,0.01,0.06,0.8627232212542255,2309.047500921127,0.05604234040979436
5.0,90,0.42,0.41,0.0,0.01,0.8913672665876381,2758.836433983518,0.0557207158433229
5.0,100,0.33,0.28,0.0,0.05,0.9160914046052665,3324.831643056609,0.05556938517768129
