level,J,mult,seed_idx,collapsed,collapse_step,collapse_type,final_m,final_wealth,final_EC,minsky_count
L3,0.5,30,8,1,316,3,-0.25555621982432775,0.0,0.44534254945650326,1
L3,0.5,30,9,1,301,2,0.1023188894957716,0.0,0.12403049394149114,1
L3,0.5,30,10,1,316,2,0.06687402485073718,0.0,0.12310288163482738,1
L3,0.5,30,11,1,297,3,-0.6014125774493966,0.0,0.07759961770744456,1
L3,0.5,30,12,1,319,3,0.4126279241768528,0.0,0.3444947423261716,1
L3,0.5,30,13,1,289,2,0.4969962461687038,0.0,0.09771460539757036,1
L3,0.5,30,14,1,305,2,0.17882938989364297,0.0,0.48565302289702067,1
L3,0.5,30,15,1,285,3,0.4161438729211125,0.0,0.09329812887744333,1
L3,0.5,30,16,1,293,3,-0.32487956590311395,0.0,0.10439048979921745,1
L3,0.5,30,17,1,304,2,-0.023538231866378337,0.0,0.14676688950129688,1
L3,0.5,30,18,1,309,2,-0.367443004752698,0.0,0.8848532369992935,1
L3,0.5,30,19,1,313,3,0.13034354529488096,0.0,0.27608710087272265,1
L3,0.5,30,20,1,291,3,0.07307789087429777,0.0,0.5432170710826596,1
L3,0.5,30,21,1,308,3,0.21824773867212888,0.0,0.4037193601584905,1
L3,0.5,30,22,1,294,3,0.858960451918042,0.0,0.06354802682118997,1
L3,0.5,30,23,1,320,2,-0.4867288156211505,0.0,0.08466234752369331,1
L3,0.5,30,24,1,313,2,0.1535760359874263,0.0,0.2495598647961061,1
L3,0.5,30,25,1,304,2,-0.5082628829209066,0.0,0.23149645082735307,1
L3,0.5,30,26,1,323,2,-0.1211743842555894,0.0,0.20115459907869335,1
L3,0.5,30,27,1,300,2,-0.16101160005072074,0.0,0.7016936101796218,1
L3,0.5,30,28,1,286,3,0.19319919132278668,0.0,0.14898143069915457,1
L3,0.5,30,29,1,286,3,0.2903023729172409,0.0,0.2644955871851458,0
L3,0.5,30,30,1,294,3,0.016165684237400554,0.0,0.16542085249583272,1
L3,0.5,30,31,1,323,2,-0.10934351356345334,0.0,0.15038856040210857,1
L3,0.5,30,32,1,319,3,0.22865552920423837,0.0,0.11104482726904444,1
L3,0.5,30,33,1,306,3,-0.5053428652675243,0.0,0.5765390956248166,1
L3,0.5,30,34,1,315,2,-0.3805977317769741,0.0,0.34097399283293534,1
L3,0.5,30,35,1,319,2,-0.883541928032518,0.0,0.0749671864654473,1
L3,0.5,30,36,1,313,3,0.3551589607709485,0.0,0.4668338221916874,1
