schedule,mult,seed_idx,collapsed,collapse_step,collapse_J,collapse_type,final_m,final_wealth
linear,60,11,0,-1,,0,0.916674135404011,1489.7466563227767
linear,60,12,0,-1,,0,0.999999,1487.1670536321064
linear,60,13,0,-1,,0,0.999999,1463.341899472782
linear,60,14,0,-1,,0,0.9582832691983064,1473.605740800838
linear,60,15,0,-1,,0,0.999999,1486.0424512158747
linear,60,16,0,-1,,0,0.9992385107042655,1482.6532960918566
linear,60,17,0,-1,,0,0.9993808370923055,1471.9892107495107
linear,60,18,0,-1,,0,0.999999,1474.8593667137566
linear,60,19,0,-1,,0,0.9999433581666524,1476.8268669792183
linear,60,20,1,967,0.64505,3,0.9544302598772857,1464.1699562246
linear,60,21,0,-1,,0,0.9857959787543621,1467.0418153920764
linear,60,22,0,-1,,0,0.999999,1486.1539447923817
linear,60,23,1,874,0.6311,3,0.9983698139688929,1477.5994796279651
linear,60,24,0,-1,,0,0.8092288671768818,1470.6286365364335
linear,60,25,0,-1,,0,0.78612572876041,1469.0703040243422
linear,60,26,0,-1,,0,0.947748388935839,1459.3646258797605
linear,60,27,0,-1,,0,0.999999,1484.3406532724844
linear,60,28,0,-1,,0,0.9819516405958956,1484.750264217055
linear,60,29,0,-1,,0,0.999650982310234,1481.9706841541094
linear,60,30,0,-1,,0,0.999999,1485.4206630747328
linear,60,31,0,-1,,0,0.9948469828764772,1487.9446144037565
linear,60,32,0,-1,,0,0.999999,1487.7923430416208
linear,60,33,0,-1,,0,0.999999,1483.1606028707142
linear,60,34,0,-1,,0,0.9999308483870176,1482.3727443326968
linear,60,35,1,999,0.64985,2,0.9525953565800944,1468.4906241018168
linear,60,36,0,-1,,0,0.73484693236215,1468.623799425859
linear,60,37,0,-1,,0,0.999999,1481.9066339144372
linear,60,38,0,-1,,0,0.999999,1465.7585399103436
linear,60,39,0,-1,,0,0.999999,1488.6689045444703
linear,60,40,0,-1,,0,0.9999852768506561,1488.1753828784026
linear,60,41,0,-1,,0,0.9998791849500686,1484.1520113243
linear,60,42,0,-1,,0,0.999999,1489.0380922671943
linear,60,43,0,-1,,0,0.9968235617001076,1490.4369451007049
linear,60,44,0,-1,,0,0.9977082192805055,1474.2951003122969
linear,60,45,0,-1,,0,0.9998283164599457,1473.5738349347957
linear,60,46,0,-1,,0,0.9929836043986756,1476.171039705106
linear,60,47,0,-1,,0,0.999999,1485.358062881335
linear,60,48,0,-1,,0,0.8759810182448168,1468.7080926896638
linear,60,49,0,-1,,0,0.9943856877486433,1491.7425866298215
linear,60,50,0,-1,,0,0.9985246237578386,1482.1183190661457
linear,60,51,0,-1,,0,0.977138388470103,1487.2414602929655
linear,60,52,0,-1,,0,0.999999,1471.4170331729538
linear,60,53,0,-1,,0,0.9247270922198441,1481.9824925226378
linear,60,54,0,-1,,0,0.9999767498906604,1480.6988102955606
linear,60,55,0,-1,,0,0.9997413869842163,1469.3853037439944
linear,60,56,0,-1,,0,0.7486649171772943,1459.731176095551
linear,60,57,0,-1,,0,0.999670661067965,1475.9081889787421
